,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
0,37,017,01026336,0500000US37017,37017,Bladen,06,2265887723,33010866,"POLYGON ((-78.90199799999999 34.835268, -78.79959699999999 34.850857, -78.51612299999999 34.84591899999999, -78.494705 34.856182, -78.390748 34.749463, -78.39197799999999 34.741265, -78.374363 34.700722, -78.254441 34.553595, -78.25546799999999 34.508614, -78.176501 34.465356, -78.256085 34.399469, -78.334569 34.367536, -78.44532 34.3774, -78.64837299999999 34.460869, -78.830353 34.462578, -78.868961 34.484778, -78.80572099999999 34.689202, -78.90199799999999 34.835268))"
1,37,167,01025844,0500000US37167,37167,Stanly,06,1023370459,25242751,"POLYGON ((-80.49737499999999 35.202104, -80.29542099999999 35.50292, -80.182559 35.504151, -80.10849499999999 35.459451, -80.051225 35.371537, -80.098185 35.255173, -80.07536499999999 35.143081, -80.112644 35.193882, -80.17281899999999 35.147847, -80.27682899999999 35.195722, -80.356982 35.16494, -80.50498499999999 35.184998, -80.49737499999999 35.202104))"
2,39,153,01074088,0500000US39153,39153,Summit,06,1069181981,18958267,"POLYGON ((-81.68698999999999 41.135956, -81.68495 41.27714599999999, -81.67050999999999 41.277255, -81.590542 41.27755399999999, -81.565139 41.277758, -81.598052 41.351157, -81.517658 41.350154, -81.45033099999999 41.349148, -81.391694 41.348272, -81.391831 41.276654, -81.39211399999999 41.135722, -81.392534 41.100435, -81.393282 41.025435, -81.393249 40.98853099999999, -81.420418 40.906504, -81.647735 40.914016, -81.647689 40.988563, -81.688491 40.98858999999999, -81.68698999999999 41.135956))"
3,42,113,01213687,0500000US42113,42113,Sullivan,06,1165338428,6617028,"POLYGON ((-76.81373099999999 41.590034, -76.220139 41.54128499999999, -76.22813099999999 41.511137, -76.2831 41.376517, -76.31013299999999 41.310199, -76.407934 41.308418, -76.447597 41.275629, -76.59253199999999 41.304332, -76.74949699999999 41.405572, -76.81373099999999 41.590034))"
4,48,459,01384015,0500000US48459,48459,Upshur,06,1509910100,24878888,"POLYGON ((-95.15273999999999 32.660949, -95.15210999999999 32.902641, -94.71994199999999 32.904502, -94.705878 32.879177, -94.67235099999999 32.834756, -94.70214 32.793088, -94.70179 32.652209, -94.745779 32.667557, -94.820223 32.590648, -94.98658499999999 32.537324, -94.986935 32.537246, -95.009992 32.516478, -95.01503699999999 32.542696, -95.15340999999999 32.570115, -95.15273999999999 32.660949))"
5,48,049,01383810,0500000US48049,48049,Brown,06,2446120250,32375524,"POLYGON ((-99.195871 32.079235, -99.11866499999999 32.079585, -98.92440099999999 32.078018, -98.668441 31.700514, -98.76005699999999 31.687896, -98.779951 31.610735, -98.991608 31.484071, -99.041741 31.490302, -99.090622 31.460927, -99.09750799999999 31.44832, -99.20276799999999 31.467234, -99.195871 32.079235))"
6,45,021,01247987,0500000US45021,45021,Cherokee,06,1018732778,11714267,"POLYGON ((-81.8744102050921 35.183520599502, -81.76813440777389 35.1797077063839, -81.494265 35.169882, -81.36760491067641 35.16409216120449, -81.40887599999999 35.046324, -81.487016 35.034853, -81.492108 34.948956, -81.457257 34.83928, -81.481945 34.866495, -81.71169399999999 34.912577, -81.755083 34.93028, -81.806252 35.055505, -81.8744102050921 35.183520599502))"
7,01,043,00161547,0500000US01043,01043,Cullman,06,1903073019,52422496,"POLYGON ((-87.111992 33.992385, -87.109911 34.299299, -87.11011099999999 34.313799, -86.581936 34.304694, -86.477525 34.302758, -86.45302 34.259317, -86.51892699999999 34.25232099999999, -86.56385 34.170493, -86.601147 34.11904, -86.692061 34.092654, -86.68536499999999 34.05914, -86.793914 33.952059, -86.924387 33.909222, -86.963358 33.858221, -87.091836 33.890093, -87.15103599999999 33.993225, -87.111992 33.992385))"
8,54,023,01697238,0500000US54023,54023,Grant,06,1236390677,7545525,"POLYGON ((-79.486873 39.20596099999999, -79.424413 39.228171, -79.35374999999999 39.278039, -79.28372299999999 39.30964, -79.26239211717609 39.3262438284674, -79.134456 39.312501, -78.97989799999999 39.237624, -79.08965499999999 39.038208, -79.046853 38.92721, -79.13429599999999 38.81334, -79.349867 38.957509, -79.35766599999999 38.964509, -79.298164 39.07321, -79.355468 39.08650799999999, -79.306461 39.209203, -79.48717499999999 39.194906, -79.486873 39.20596099999999))"
9,46,055,01266988,0500000US46055,46055,Haakon,06,4689282658,42449843,"POLYGON ((-102.001068 44.510926, -102.000432 44.511663, -101.889038 44.538458, -101.811198 44.52237299999999, -101.715038 44.579483, -101.531035 44.567875, -101.456072 44.63620299999999, -101.38146 44.653667, -101.361918 44.687825, -101.229495 44.692287, -101.136838 44.747126, -101.154516 44.689947, -101.155188 44.34314699999999, -101.166753 44.168085, -101.046916 44.168484, -101.046786 43.99497, -101.064068 43.994929, -102.007336 43.99453, -102.001068 44.510926))"
